1;54;WMZ;WMZ;840;1;1011001111010111110110100001001110000000000011111010111111001001100110111111110011111011100000100000000100000000000010100100111111111111111111111111111111111100010000101111110110101000001011101000111010011110100
2;55;WMR;WMR;643;1;1011101111110111110111101001001110000110010011111010110010000001100110000011110011100001100000100000000100000000000010100100110011010011011011111111111111111100000000101100000100000000000000000000101010001000100
3;57;WME;WME;978;1;0000000000000000000000000000000000000000000000000000011000000000000010111000000000011000000000000000000000000000000010100100100000000000001111110101111001010100000000000000000100101000000000000000000000000000100
4;147;Беларусбанк;BYN БелБанк;974;3;1001111111111110111110111011001111100111110011111000110000000001111110111111111011100001100000000000100000000000000000000000000000000000000000000000010100000000000000010000000000000000000100000000000000000000000
55;138;Приват 24 USD;USD Приват24;840;3;1000000000001000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;68;ЮMoney;RUB ЮMoney;643;1;1011111111110111111111111011001111100111110011111011111100000001111111111111111011111111111000100000000000000000000010100100111111101110001111111111111111111111110011110001011100001000000000000000000000011000100
7;193;WU RUB;RUB WU;643;4;0000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;117;Сбербанк;RUB Сбербанк;643;3;1011111111111111111111111111111111111111111111111111111100000001111110111111111111111001111000111010101110010000000100100100111110111111101111111101111111110111110011111100111100111000000100000000000000010000000
48;35;OmiseGO (OMG);OMG;105;0;1011111111111111111111111111101111011111111111111111110000000001111111111111111111110011110000000000001101100000001010111111111111111111101111111111111111111111110011111011111100111000000100000001111110010010000
15;192;WU EUR;EUR WU;978;4;1000001010000001010000000000000000000000000000000000000000000001100000000010100010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;58;WMB;WMB;974;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;38;Binance Coin (BNB);BNB;109;0;1111111111111111111111111111101111111111111111111111111100000001111110111111111111110011110000100010101111000001101011111111111111111111111111111111111111111111110111111111111101111100100100000001111110011110101
20;80;Advanced Cash TRY;TRY AdvCash;949;1;1011111111111111111111111011001111101100110011111111111100000001111110101111111011100001100000000000000100000001000010100101111110101111101111110101101011111111110001111110011100011000000100000000100000011100000
43;60;WMG;WMG;999;1;0000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
51;125;ВТБ;RUB ВТБ;643;3;1011111111111111111111111011111111111111111111111111111100000001111110111111111111100001100000101000101110010000000010000000000000001110101111111101111110110111110111011100111101111000000100000000000000000000000
47;59;WMK;WMK;398;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000100000000000000000100000000000000000000000000000000100
40;64;Perfect Money USD;USD PM;840;1;1011111111111111111111111111101111111111111111111111111100000001111111111111111111111111111010111110101110010001000011111111111111111111111111111111111111111111110111111111111101111100100111101101111111111111100
41;65;Perfect Money EUR;EUR PM;978;1;1011111111111111111111111111101111111111111111111111111100000001111111111111111111111011111010110100100110010001000011111111111111111111111111111111111111111111110111111111111101111000100111001001111111111110000
45;71;PayPal USD;USD PayPal;840;1;1001001000000000000000000000000100000000000000000000010010001001100110000011100000011000000000000000000000000000000010100100111111111111101111111101111011110100000000000000010000000000000000000000000000010010000
50;102;ePayService;USD ePS;840;1;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52;119;Альфа-Банк;RUB Альфа-Банк;643;3;1001111111111111111111111111111111111111111111111111111100000001111110111111111011111001111000100000001100011000000010000000000000001110101111111101111010110111110011011100010100011000000100000000000000000000000
53;128;Промсвязьбанк;RUB ПСБанк;643;3;1011111111111110111111111111101111111111111111111111111000000001111110111111111111100001100000110000101110000000000000000000000100000000101111111100010100110011110111011100111001111000000100000000000000010000000
49;104;Счет телефона RUB;RUB Баланс;643;1;1000001111110110010000000000001110000100000000000000110000000001111111111111111011100001100000100000100000000000000010100100111110101110001111110111111111111111110111111011111101010000000100000000000000000000000
54;157;Visa/MasterCard BYN;BYN Карта;974;3;1001111111111110111110111011001111100111110011111001110000000001111110111111111011100001100000000000100000000000000000000000000000000000000000000000010100001000000000010000000000000000000100000000000000000000000
56;139;Приват 24 UAH;UAH Приват24;980;3;1011111111111111111111111111001111111111110111111111111110001101111110111111111111100011100000111100000110010100001010100100111111111111101111111111101011111111110011111111111100111000000100000000000000010000000
44;84;Skrill USD;USD Skrill;840;1;1001001111000110110000000000001110000100000000000000010010001001100110111011100010000000010000000000000000000000000010100100111111111111101111111101111011110100000000000000000000000000100000000000000000011100000
58;153;Visa/MasterCard USD;USD Карта;840;3;1011111111111110111111111111001111101111110111111111110000000001111110111111111111100001100110000000100100000000000000000100001010001111001100000001111100011111110111011011111101111000100101000000000000000000000
59;154;Visa/MasterCard RUB;RUB Карта;643;3;1011111111111111111111111011101111111111111111111111111100000001111110111111111111100001100110101000100110000000000110100100100000001110101111111111111110111111110111011111111101111000100101000000000000000000000
60;156;Visa/MasterCard UAH;UAH Карта;980;3;1011111111111111111111111111001111111111111111111111111110001101111110111111111111100011100000111100000110010100000010100100111111111111101110010011101011111111110011111111111100111000000100000000000000010000000
46;123;Тинькофф cash-in;RUB ТКС cash-in;643;3;1000001000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;42;BAT (BAT);BAT;1002;0;1111111111111111111111111111101111111111111111111111111000000001111111111111111111110011110000000000101101100000001010111110111111111111101111111111111111111111110111111111111101111000100100000001111110011110000
62;121;Альфа cash-in RUB;RUB Альфа cash-in;643;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;69;QIWI RUB;RUB QIWI;643;1;1011111111111111111111111111101111111111111111111111111000001001111111111111111111111001111000100010001110000000000010101101111111111111111111111111111011111100000000111111110100000000100000000000001000011100000
64;126;Русский Стандарт;RUB РусСтандарт;643;3;1011111111111111111111111011101111111111111111111111111000000001111110111111111111100001100000000000101100010000000000000000010000001110101111111101111110110111110111011100011101111000000100000000000000000000000
65;155;Visa/MasterCard EUR;EUR Карта;978;3;1011111111111110111111111111001111101111110111111111110000000001111110111111111111100001100110000000100100000000000010100100111110101111101100000001111111011111110111111011111101111000100101000000000000000000000
57;130;Кукуруза;RUB Кукуруза;643;3;1001111111111111111111011011101111111111111111111111101000000001101110100011111011100001100000100000001000000000000000000000000000000000001111111100000000010000000000000000010000000000000000000000000000000000000
66;151;Kaspi Bank;KZT KaspiBank;398;3;1001101111111111111111111011001111101110110011111111011010000001111111101111111111100001100000100000000100000000000010100100111110101111101110110001100011111111110011110000011100111000000100000000000000000000000
67;191;WU USD;USD WU;840;4;1000001011100011110000000011000100000000000000000000010000000001100000000010100010000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;141;Ощадбанк;UAH Ощадбанк;980;3;1011111111111111111111111011001111101111110111111111111110001101111110111111111111100011100000111000000110000000001010100100111111111111101110010101101011111101110011111111111000111000000100000000000000010000000
69;171;Любой банк USD;USD Банк;840;3;1001111111111110111111111011001111100111110111111110110000000001111110111111111011100001100000000000100000000000000000000000000000000000000000000000010100000010110101011000000000010000100100000000000000011100000
73;3;Wrapped BTC (WBTC);WBTC;967;0;1001011111111111111111111111001111111111011111111011110000000001101110111111111111010011110000000000001101000000101010100101111110111111101111110111111111111101110001111111111100010000000100000000000000011110000
70;173;Любой банк EUR;EUR Банк;978;3;1001111111111110111111111011001111100111110111111110110000000001111110111111111011100001100000000000100000000000000000000000000000000000000000000000010100000010110101011010000000010000100101000000000000011100000
71;172;Любой банк RUB;RUB Банк;643;3;1001111111111111111111111011001111101111110111111111110100000001111110111111111111100001100000100010100110000000000010100100111010101110101111111111111111111111110111111000111100111000000100000000000000000000000
72;90;Neteller USD;USD Neteller;840;1;1001001111000110100000000000001110000100000000000000000000000001100110000010100010010000000000000000000000000000000010100100000000000000001000000000000000000000000000000000000000000000000000000000000000010000000
74;87;Paxum;USD Paxum;840;1;0000000000000000110000000000000000000000000000000000010000000001000110100010000010000001000000000000000000000000000010100000000000000000001000000000000001010000000000000000000000000000000000000000000000001000000
11;86;Idram;AMD Idram;51;1;1000000001000000010000000000000000000000000000000000010000000001100000000011110011100001000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
75;150;ForteBank;KZT ForteBank;398;3;1001001111111111111111111011001111001100100011111000011010000001101111000011111011100001100000100000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000
76;56;WMP;WMP;643;1;0000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000010100100100000000000001111110100000001010000000000000001010000001000000000000000000000000000000
77;195;MoneyGram EUR;EUR MG;978;4;1000001000000000010000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;194;MoneyGram USD;USD MG;840;4;1000001011100100110000000000000000000000000000000000000000000001000010000010000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000
79;127;Авангард;RUB Авангард;643;3;1001111111111110111111111111101111111111111111111111110000000001111110111111111111100001100000000000101110000000000000000000001000000000001111111100010100110011110111111000011000111000000100000000000000000000000
80;73;PayPal EUR;EUR PayPal;978;1;1001001000000000000000000000000100000000000000000000010010001001100110000011100000011000000000000000000000000000000010100100111111111111101111111101111011110100000000000000010000000000000000000000000000000110000
81;177;Любой банк GBP;GBP Банк;826;3;1001001111010110110111111001001110000110000111111110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
