1;56;WMZ;WMZ;840;1;10011001011101011111011010000100111000000000001111101010111101001100110111111110011111011100000100000001000000000000010100100111111111111111111111111111111111100010000100011110110001000001011101000111010011110100
2;57;WMR;WMR;643;1;10011101011111111111011010100100111000111001001111101011000000001100110000011110011100001100000100000001000000000000010100100110011010011011011111111111111111100000000100000000100000000000000000000101010001000100
3;59;WME;WME;978;1;00000000000000000000000000000000000000000000000000000001100000000000010111000000000011000000000000000000000000000000010100100100000000000001111110100000001010000000000000000000000000000000000000000000000000000100
4;148;Беларусбанк;BYN БелБанк;974;3;10011111011111111011111111111111111101011111111111111111000000001111110111111111011100001100000000000110000000000000000000000000000000000000000000000010100000000000000010000000000000000000000000000000000000000000
55;139;Приват 24 USD;USD Приват24;840;3;10000001000000100001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;69;ЮMoney;RUB ЮMoney;643;1;10111111111111111111111111111111111111111111111111111111110000101111110111111111011111111111000100000010100000000000010100100111111101110001111111111111111111111110011110001011100001000000000000000000000001000000
7;194;WU RUB;RUB WU;643;4;00000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;118;Сбербанк;RUB Сбербанк;643;3;10111111111111111111111111111111111111111111111111111111110000001111110111111111111111001111000111000111100100010000100100100111110111111101111111101111111110111110011111100111100111000000100000000000000010000000
48;37;OmiseGO (OMG);OMG;105;0;10111111011111111111111111111111111111111111111111111111000000001111110111111111111100001100000000000011111000000000110111111111111111111101111111101111111111111110011111011111100111000101100000001111110011110000
15;193;WU EUR;EUR WU;978;4;10000001001000000101000000000000000000000000000000000000000000001100000000010100010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;60;WMB;WMB;974;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;40;Binance Coin (BNB);BNB;109;0;11111111111111111111111111111111111111111111111111111111110000001111111111111111111100001100000100010111110000001000111111111111111111111111111111111111111111111110111111111111101111100101100000001111110011110101
20;81;Advanced Cash TRY;TRY AdvCash;949;1;10111111111111111111111111101100111110110011001111111111110000001111110101111111011100001100000000000001000000001000010100101111110101111101111110101101011111111110001111110011100011000000100000000100000011100000
43;3;Bitcoin BEP20 (BTC);BTC BEP20;967;0;10111111111111111111111111101100111110110011001111111111110000001111110101111111111100001100000000000001000000001000111101111111110101111101111111101101011111111110011111111011100111000000100000000100000011100000
51;126;ВТБ;RUB ВТБ;643;3;10111111111111111111111111111111111111111111111111111111110000001111110111111111111100001100000100000111100100000000010000100010110101110101111111101111110110111110111011101111111111000000100000000000000000000000
47;61;WMK;WMK;398;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40;65;Perfect Money USD;USD PM;840;1;10111111111111111111111111111111111111111111111111111111110000101111111111111111111111111111010111110111100110011000111111111111111111111111111111111111111111111111111111111111111111100101111101101111111111110000
41;66;Perfect Money EUR;EUR PM;978;1;10111111111111111111111111111111111111111111111111111111110000101111111111111111111111011111000110100111100100011000011111111111111111111111111111111111111111111111111111111111111111000101111001001111111111110000
45;72;PayPal USD;USD PayPal;840;1;10001001000000000000000000000000010000000000000000000001001001001100110000011100000011000000000000000000000000000000010100100111111111111101111111101111011110100000000000000010000000000000000000000000000010010000
50;112;Exmo USDT;USDT Exmo;840;2;10001001011101011111110110001100011000000000000000000001000000001101110000011111011100001100000000000000000000000000000100100111111111111111111111101111111110100000000100010100000000000000011001001111001100000000
52;120;Альфа-Банк;RUB Альфа-Банк;643;3;10111111011111111111111111111111111111111111111111111111110000001111110111111111011111001111000100000001100110000000000000000100000001110101111111101111011110111110011011000010100011000000100000000000000000000000
53;129;Промсвязьбанк;RUB ПСБанк;643;3;10111111111111111111111111111111111111111111111111111111100000001111110111111111111100001100000110000111100000000000010100100110110101110101111111101110111111111111111011101111011111000000100000000000000010000000
49;104;Счет телефона RUB;RUB Баланс;643;1;10011001011111111111111111111111111111110011111111111111000000001111110111111111011100001100000100000110100000000000010100100111110111111101111111111111111111111110111111011111101010000000000000000000000000000000
54;158;Visa/MasterCard BYN;BYN Карта;974;3;10011111011111111011111111111111111111011111111111111111000000001111110111111111011100001100000000000110000000000000000000000000000000000000000000000010100001000000000010000000000000000000000000000000000000000000
56;140;Приват 24 UAH;UAH Приват24;980;3;10111111111111111111111111111110111111111111011111111111111001101111110111111111111100011100000111100001100101010000010100100111111111111101111111111111011111111110011111101111100111000001100000000000000011000000
44;85;Skrill USD;USD Skrill;840;1;10001001011100011010000000000000111000010000000000000001001001001100110111011100010000000010000000000000000000000000010100100111111111111101111111101111011110100000000000000000000000000000000000000000000011000000
58;154;Visa/MasterCard USD;USD Карта;840;3;10011111011111111011111111111111111111111111111111111111000000001111110111111111011100001100110000000110000000000000000000000000000000000000000000000010100000011110101011011100001010000100001000000000000000000000
59;155;Visa/MasterCard RUB;RUB Карта;643;3;10111111111111111111111111111111111111111111111111111111110000001111110111111111111100001100110101000111100110000000010000100010110101110101111111111111010111111110011111111111110111000100101000000000000000000000
60;157;Visa/MasterCard UAH;UAH Карта;980;3;10111111111111111111111111111110111111111111111111111111111001101111110111111111111100011100000111100001100101010000010100100111111111111101111110011101011111111110011111101111100111000001100000000000000011000000
46;124;Тинькофф cash-in;RUB ТКС cash-in;643;3;10000001000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
61;44;BAT (BAT);BAT;1002;0;11111111111111111111111111111111111111111111111111111111100000001111110111111111111100001100000000000111111000000000110111110111111111111101111111111111111111111110111111111111101111000101100000001111110011110000
62;122;Альфа cash-in RUB;RUB Альфа cash-in;643;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;70;QIWI RUB;RUB QIWI;643;1;10111111111111111111111111111111111111111111111111111111100001001111110111111111111111001111000101010011100110000000010101101111111111111111111111111111011111100000000110011110100000000100000000000001000011100000
64;127;Русский Стандарт;RUB РусСтандарт;643;3;10111111111111111111111111111111111111111111111111111111100000001111110111111111111100001100000000000111100100000000000000000010110101110101111111101111110110111111111011101011111111000000100000000000000000000000
65;156;Visa/MasterCard EUR;EUR Карта;978;3;10011111011111111011111111111111111111111111111111111111000000001111110111111111011100001100110000000111000000000000000000000000000000000000000000000010100000011110101011011100001010000100001000000000000000000000
57;131;Кукуруза;RUB Кукуруза;643;3;10001101011111111111111100101100111000111011001111101010100000001100110000011111011100001100000100000000000000000000000000000000000000000001111111100000000010000000000000000010000000000000000000000000000000000000
66;152;Kaspi Bank;KZT KaspiBank;398;3;10001001011111111111111110101100111000011010001010100001100000001101111000011111011100001100000100000000000000010000010100100110010001000001110110001000001010000000000100000000000000000000000000000000000000000000
67;192;WU USD;USD WU;840;4;10000001001110001111000000001100010000000000000000000001000000001100000000010100010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;142;Ощадбанк;UAH Ощадбанк;980;3;10111111111111111111111111111110111110111111011111111111111001101111110111111111111100011100000111000001100000010000010100100111111111111101111110101111011111111110011111101111100111000001100000000000000010000000
69;172;Любой банк USD;USD Банк;840;3;10011111011111111011111111111111111111111111111111111111000000001111110111111111011100001100000000000110000000000000000000000000000000000000000000000010100000010110101011000000000010000000000000000000000011100000
73;4;Wrapped BTC (WBTC);WBTC;967;0;10101111111111111111111111111111111111111111111111111111110000001111111111111111111100001100000000000111010000001000011100101111110111111101111110111111111111111110111111111111101010000100100000000100000011100000
70;174;Любой банк EUR;EUR Банк;978;3;10011111011111111011111111111111111111111111111111111111000000001111110111111111011100001100000000000110000000000000000000000000000000000000000000000010100000010110101011010000000010000000001000000000000011100000
71;173;Любой банк RUB;RUB Банк;643;3;10011111011111111111111111111111111111111111111111111111010000001111110111111111111100001100000100010111100000000000010100100111110101110101111111111111011111111111111111001111110111000000100000000000000000000000
72;91;Neteller USD;USD Neteller;840;1;10001001011100011010000000000000111000010000000000000000000000001100110000010100010010000000000000000000000000000000010100100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000
74;88;Paxum;USD Paxum;840;1;00000000000000000011000000000000000000000000000000000001000000001000110100010000010000001000000000000000000000000000010100000000000000000001000000000000001010000000000000000000000000000000000000000000000001000000
11;87;Idram;AMD Idram;51;1;10000000000100000001000000000000000000000000000000000001000000101100100000011110011100001000000000000000000000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000
75;151;ForteBank;KZT ForteBank;398;3;10001001011111111111111110101100111000010010001010000001100000001101111000011111011100001100000100000000000000010000000000000000000000000000000000001101000000000000000000000000000000000000000000000000000000000000
76;58;WMP;WMP;643;1;00000000010000000000000000000000001000010000000000000001000000000000100000000000000000000000000000000000000000000000010100100100000000000001111110100000001010000000000000001010000001000000000000000000000000000000
77;196;MoneyGram EUR;EUR MG;978;4;10000001000000000001000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;195;MoneyGram USD;USD MG;840;4;10000001001000000001000000000000000000000000000000000000000000001000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;128;Авангард;RUB Авангард;643;3;10111111011111111111111111111111111111111111111111111111000000001111110111111111111100001100000000000111100000000000010100100111110101110001111111101100011111111111111111001011010111000000100000000000000000000000
80;74;PayPal EUR;EUR PayPal;978;1;10001001000000000000000000000000010000000000000000000001001001001100110000011100000011000000000000000000000000000000010100100111111111111101111111101111011110100000000000000010000000000000000000000000000000110000
81;178;Любой банк GBP;GBP Банк;826;3;10001001011101011011011111100100111000011000011111111001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;53;Solana (SOL);SOL;1012;0;10111111111111111111111111111111111111111111111111110111110000001111111111111111111100001100000000000111110000001000111111111111111111111101111111111111111111111110111111111111101111000101100000001111110011110000
83;166;Visa/MasterCard TRY;TRY Карта;949;3;10001001011111111011011111101100111100011010011111111010000000001101110000011100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;145;Монобанк;UAH Монобанк;980;3;10111111111111111111111111111110111111111111111111111111111001101111110111111111111100011100000111100001100000010000010100100111111111111101111110101111011111111110011111101111100111000001100000000000000011000000
85;90;Capitalist RUB;RUB Capitalist;643;1;10111111111111111111111111111111111111111111111111111111000000001111110111111111111100001000000100000111000000010000010100100111111111111111111111111111111111111110111111111111101111000101111001001111001111100000
86;201;UNI USD;USD UNI;840;4;10000001001000000100000000000000000000000000000000000000000000001100000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;63;Paymer USD;USD Paymer;840;1;00000000001000001001000000000000000000000000000000000000000000001100100000011110011100001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000
88;76;Advanced Cash USD;USD AdvCash;840;1;10111111111111111111111111111111111111111111111111111111110000101111111111111111111111111111110111110111100110011000011111111111111111111111111111111111111111111110111111111111101111100101111101101111111111110010
89;205;Наличные USD;USD Наличными;840;5;10001001011111111111111111001100111010111001001011101011000000001101110000011100011010011000000110100000000000000000110100100100000001000001111110100000001010000000000000010110000000000100000000000000000000000000
90;149;HalykBank;KZT HalykBank;398;3;10001001011111111111111110101100111000010010001010000001100000001101111000011111011100001100000100000000000000010000010100100110000000000001110110000110001010000000000000000000000000000000000000000000000000000000
91;206;Наличные RUB;RUB Наличными;643;5;10001001001111011111110110001100111000010000000001001001000000001101010000011100011010000000000000100000000000000000110000100100000000000001000010000000001010000000000000010100000001000100000000000000000010000000
92;208;Наличные UAH;UAH Наличными;980;5;10001001011111111111111110000100011010111001001011101001000000001101000000011100010000010000000000000000000000000000010000100000000000000001110110100000000010000000000000001010000001000000000000000000000000000000
